Sno,Company,Symbol,Portfolio%,      Price
469,News Corporation Class A,NWSA,0.02%,   25.66
470,Regency Centers Corporation,REG,0.02%,   58.80
471,"Paycom Software, Inc.",PAYC,0.02%,   198.29
472,Henry Schein Inc,HSIC,0.02%,   72.52
473,Globe Life Inc.,GL,0.02%,   108.45
474,"Assurant, Inc.",AIZ,0.02%,   179.85
475,Brown-Forman Corporation Class B,BF.B,0.02%,   50.98
476,Solventum Corporation,SOLV,0.02%,   70.06
477,"Match Group, Inc",MTCH,0.02%,   33.71
478,American Airlines Group Inc.,AAL,0.02%,   13.76
479,"Caesars Entertainment, Inc.",CZR,0.02%,   42.91
480,Campbell Soup Company,CPB,0.02%,   43.30
481,"Boston Properties, Inc.",BXP,0.02%,   61.35
482,Marketaxess Holdings Inc.,MKTX,0.02%,   225.39
483,"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,   71.18
484,Pinnacle West Capital Corporation,PNW,0.02%,   72.76
485,Borgwarner Inc.,BWA,0.02%,   34.61
486,Generac Holdings Inc,GNRC,0.02%,   134.41
487,Robert Half Inc.,RHI,0.02%,   75.30
488,"Etsy, Inc.",ETSY,0.02%,   64.98
489,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,   18.89
490,"Franklin Resources, Inc.",BEN,0.02%,   27.05
491,Fox Corporation Class A,FOXA,0.02%,   31.02
492,Invesco Ltd,IVZ,0.02%,   16.65
493,Fmc Corporation,FMC,0.02%,   58.74
494,Federal Realty Investment Trust,FRT,0.02%,   99.69
495,Davita Inc.,DVA,0.02%,   133.61
